,index,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
92,177,384,9/1/2015 00:29:21,9/1/2015 00:35:45,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,483,E 12 St & 3 Ave,40.73223272,-73.98889957,22438,Subscriber,1987.0,1
93,178,752,9/1/2015 00:29:22,9/1/2015 00:41:55,334,W 20 St & 7 Ave,40.74238787,-73.99726235,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,24058,Subscriber,1960.0,1
94,179,1367,9/1/2015 00:29:47,9/1/2015 00:52:35,519,Pershing Square North,40.751872999999996,-73.97770600000001,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,15790,Customer,,0
95,180,849,9/1/2015 00:29:46,9/1/2015 00:43:56,285,Broadway & E 14 St,40.73454567,-73.99074142,312,Allen St & E Houston St,40.722055,-73.989111,15259,Subscriber,1988.0,1
96,182,238,9/1/2015 00:29:59,9/1/2015 00:33:58,494,W 26 St & 8 Ave,40.74734825,-73.99723551,379,W 31 St & 7 Ave,40.749156,-73.9916,19333,Subscriber,1989.0,1
97,183,504,9/1/2015 00:30:12,9/1/2015 00:38:37,151,Cleveland Pl & Spring St,40.7218158,-73.99720307,432,E 7 St & Avenue A,40.72621788,-73.98379855,20538,Subscriber,1986.0,1
98,184,205,9/1/2015 00:30:32,9/1/2015 00:33:57,474,5 Ave & E 29 St,40.7451677,-73.98683077,496,E 16 St & 5 Ave,40.73726186,-73.99238967,15430,Subscriber,1986.0,1
99,193,2105,9/1/2015 00:33:17,9/1/2015 01:08:22,517,Pershing Square South,40.751581,-73.97791,3133,E 67 St & Lexington Ave,40.76734259143217,-73.96485865116121,18144,Subscriber,1994.0,1
100,197,469,9/1/2015 00:34:32,9/1/2015 00:42:22,492,W 33 St & 7 Ave,40.75019995,-73.99093085,527,E 33 St & 2 Ave,40.744023,-73.976056,23440,Subscriber,1990.0,1
101,199,408,9/1/2015 00:35:27,9/1/2015 00:42:15,494,W 26 St & 8 Ave,40.74734825,-73.99723551,491,E 24 St & Park Ave S,40.74096374,-73.98602213,15859,Subscriber,1990.0,1
102,203,621,9/1/2015 00:36:07,9/1/2015 00:46:28,293,Lafayette St & E 8 St,40.73028666,-73.9907647,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,20660,Subscriber,1968.0,1
103,204,635,9/1/2015 00:36:28,9/1/2015 00:47:03,293,Lafayette St & E 8 St,40.73028666,-73.9907647,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,20690,Subscriber,1990.0,2
104,207,539,9/1/2015 00:36:38,9/1/2015 00:45:37,358,Christopher St & Greenwich St,40.73291553,-74.00711384,334,W 20 St & 7 Ave,40.74238787,-73.99726235,14718,Subscriber,1980.0,1
105,208,261,9/1/2015 00:37:00,9/1/2015 00:41:21,350,Clinton St & Grand St,40.71559509,-73.9870295,401,Allen St & Rivington St,40.72019576,-73.98997825,21998,Subscriber,1956.0,1
106,209,461,9/1/2015 00:37:26,9/1/2015 00:45:08,312,Allen St & E Houston St,40.722055,-73.989111,348,W Broadway & Spring St,40.72490985,-74.00154702,16518,Subscriber,1992.0,2
107,211,436,9/1/2015 00:37:55,9/1/2015 00:45:12,359,E 47 St & Park Ave,40.75510267,-73.97498696,527,E 33 St & 2 Ave,40.744023,-73.976056,22597,Subscriber,1989.0,1
108,213,495,9/1/2015 00:38:12,9/1/2015 00:46:28,293,Lafayette St & E 8 St,40.73028666,-73.9907647,3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234,16553,Customer,,0
109,215,1584,9/1/2015 00:38:24,9/1/2015 01:04:49,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,467,Dean St & 4 Ave,40.68312489,-73.97895137,17527,Subscriber,1988.0,1
110,222,786,9/1/2015 00:39:01,9/1/2015 00:52:07,367,E 53 St & Lexington Ave,40.75828065,-73.97069431,379,W 31 St & 7 Ave,40.749156,-73.9916,15416,Subscriber,1963.0,1
111,228,815,9/1/2015 00:40:06,9/1/2015 00:53:42,492,W 33 St & 7 Ave,40.75019995,-73.99093085,545,E 23 St & 1 Ave,40.736502,-73.97809472,19181,Subscriber,1976.0,1
112,231,604,9/1/2015 00:41:04,9/1/2015 00:51:09,510,W 51 St & 6 Ave,40.7606597,-73.98042047,160,E 37 St & Lexington Ave,40.748238,-73.978311,15594,Subscriber,1984.0,1
113,232,438,9/1/2015 00:42:01,9/1/2015 00:49:19,328,Watts St & Greenwich St,40.72405549,-74.00965965,147,Greenwich St & Warren St,40.71542197,-74.01121978,19970,Subscriber,1981.0,1
114,236,1216,9/1/2015 00:43:13,9/1/2015 01:03:30,494,W 26 St & 8 Ave,40.74734825,-73.99723551,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,15680,Customer,,0
115,239,870,9/1/2015 00:43:17,9/1/2015 00:57:47,468,Broadway & W 55 St,40.7652654,-73.98192338,468,Broadway & W 55 St,40.7652654,-73.98192338,18573,Subscriber,1984.0,1
116,243,1513,9/1/2015 00:43:36,9/1/2015 01:08:50,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,441,E 52 St & 2 Ave,40.756014,-73.967416,15704,Subscriber,1971.0,1
117,245,373,9/1/2015 00:43:39,9/1/2015 00:49:52,3086,Graham Ave & Conselyea St,40.715143,-73.944507,3094,Graham Ave & Withers St,40.7169811,-73.94485918,22688,Subscriber,1991.0,1
118,246,197,9/1/2015 00:44:06,9/1/2015 00:47:24,493,W 45 St & 6 Ave,40.7568001,-73.98291153,479,9 Ave & W 45 St,40.76019252,-73.9912551,17716,Subscriber,1987.0,1
119,248,496,9/1/2015 00:44:28,9/1/2015 00:52:45,357,E 11 St & Broadway,40.73261787,-73.99158043,509,9 Ave & W 22 St,40.7454973,-74.00197139,23086,Subscriber,1992.0,1
120,250,807,9/1/2015 00:44:46,9/1/2015 00:58:14,455,1 Ave & E 44 St,40.75001986,-73.96905301,394,E 9 St & Avenue C,40.72521311,-73.97768752,22979,Subscriber,1980.0,2
121,251,920,9/1/2015 00:44:47,9/1/2015 01:00:07,3158,W 63 St & Broadway,40.77163851,-73.98261428,526,E 33 St & 5 Ave,40.74765947,-73.98490707,19808,Subscriber,1987.0,1
122,254,736,9/1/2015 00:45:13,9/1/2015 00:57:30,401,Allen St & Rivington St,40.72019576,-73.98997825,346,Bank St & Hudson St,40.73652889,-74.00618026,17685,Subscriber,1968.0,1
123,255,1639,9/1/2015 00:45:22,9/1/2015 01:12:41,510,W 51 St & 6 Ave,40.7606597,-73.98042047,320,Leonard St & Church St,40.717571,-74.005549,18577,Subscriber,1987.0,2
124,258,1709,9/1/2015 00:45:57,9/1/2015 01:14:27,2000,Front St & Washington St,40.70255088,-73.98940236,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,18935,Subscriber,1989.0,2
125,259,1317,9/1/2015 00:46:09,9/1/2015 01:08:06,459,W 20 St & 11 Ave,40.746745000000004,-74.007756,513,W 56 St & 10 Ave,40.768254,-73.988639,20623,Customer,,0
126,264,661,9/1/2015 00:47:32,9/1/2015 00:58:34,463,9 Ave & W 16 St,40.74206539,-74.00443172,477,W 41 St & 8 Ave,40.75640548,-73.9900262,23013,Subscriber,1980.0,1
127,266,982,9/1/2015 00:47:36,9/1/2015 01:03:58,394,E 9 St & Avenue C,40.72521311,-73.97768752,376,John St & William St,40.70862144,-74.00722156,17388,Subscriber,1983.0,1
128,267,649,9/1/2015 00:48:13,9/1/2015 00:59:03,504,1 Ave & E 15 St,40.73221853,-73.98165557,403,E 2 St & 2 Ave,40.72502876,-73.99069656,22076,Subscriber,1990.0,1
129,268,205,9/1/2015 00:48:55,9/1/2015 00:52:21,402,Broadway & E 22 St,40.740343200000005,-73.98955109,486,Broadway & W 29 St,40.7462009,-73.98855723,24281,Subscriber,1976.0,1
130,270,388,9/1/2015 00:49:28,9/1/2015 00:55:56,3084,Devoe St & Leonard St,40.71348658,-73.94792458,3067,Broadway & Whipple St,40.7016657,-73.9437303,14923,Subscriber,1969.0,1
131,271,2222,9/1/2015 00:49:36,9/1/2015 01:26:39,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,525,W 34 St & 11 Ave,40.75594159,-74.0021163,16276,Subscriber,1983.0,1
